timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_1,temp_2,proximidad,voltaje,event,extra
1785872127423,-0.601,-1.109,10.168,-10.032,-193.224,-232.352,38.89,39.16,1370.9,12.06,,2.66
1785872127533,-1.481,1.24,9.9,-148.034,74.421,103.398,43.31,28.04,1281.3,11.71,,24.87
1785872127643,0.652,0.578,9.509,31.022,185.84,127.717,43.09,46.11,1377.4,11.55,,5.12
1785872127749,1.83,-0.483,10.233,143.694,-149.907,26.892,27.43,48.7,1982.6,12.49,,81.03
1785872127862,0.769,-0.053,9.515,-137.401,73.376,-167.159,28.36,46.04,1511.0,10.74,,36.29
1785872127964,1.95,-0.019,9.606,164.949,-231.314,-245.411,20.08,38.19,1960.1,11.08,,66.11
1785872128078,-0.284,-1.585,9.015,216.86,62.091,-161.033,27.1,23.97,133.0,11.24,,19.16
1785872128195,-1.909,-0.608,9.107,-111.248,37.254,161.839,37.58,41.35,1135.1,11.21,,63.76
1785872128312,1.14,1.383,10.065,-72.35,-183.65,119.838,23.0,23.25,1096.3,10.69,,97.93
1785872128414,1.0,-0.556,10.111,-156.632,92.967,-111.645,21.86,30.24,1891.7,11.49,,76.68
1785872128529,1.35,-0.281,10.088,200.673,-170.556,84.28,42.95,21.98,613.9,10.64,,9.42
1785872128632,-0.421,-1.393,8.751,-82.313,104.686,-18.864,36.21,40.67,887.6,12.25,,31.7
1785872128746,0.431,1.126,9.326,-199.597,31.901,-28.506,23.72,26.01,1234.1,12.46,,0.79
1785872128868,-1.592,-0.189,9.403,-54.633,224.244,-28.916,30.86,34.86,1302.0,12.26,,22.45
1785872128979,-1.132,-0.811,9.33,-151.619,-182.685,-75.619,35.35,38.18,123.2,11.48,,95.78
1785872129096,1.03,-1.016,9.863,-109.538,109.463,55.919,38.87,44.31,123.2,11.14,,10.29
1785872129200,1.886,0.895,9.481,-241.757,-98.076,-122.162,39.62,29.96,615.1,11.24,,69.78
1785872129312,1.46,-0.958,8.536,-46.618,181.765,247.151,29.55,23.49,36.5,11.79,,29.34
1785872129444,1.449,0.845,9.65,-28.98,-126.286,-112.515,37.06,24.84,1692.0,12.35,,60.08
1785872129546,-0.789,0.351,10.315,-118.925,-123.685,172.271,36.01,43.88,1011.9,11.42,,35.87
1785872129663,1.102,1.156,10.14,12.333,-16.019,206.09,49.8,42.65,387.2,10.57,,80.19
1785872129779,-1.802,1.869,9.107,-68.333,71.554,119.005,25.54,27.19,224.3,10.62,,12.64
1785872129896,-0.382,0.506,8.551,-125.644,-149.184,-167.164,42.9,26.46,399.4,10.51,,82.03
1785872130012,0.307,-0.536,9.975,-198.27,-30.051,65.539,49.88,35.29,63.3,11.13,,94.65
1785872130130,0.053,0.693,9.898,-78.552,134.834,27.466,45.2,45.15,1515.5,10.93,,37.55
1785872130246,1.699,-1.827,8.697,-191.256,169.9,-113.402,34.29,24.2,640.1,10.57,,34.54
1785872130347,0.417,-0.274,10.031,75.495,155.213,-7.508,44.12,40.22,1607.8,11.2,,26.65
1785872130462,1.895,1.977,8.791,-12.786,147.882,-108.701,39.21,35.41,931.6,11.98,,19.71
